#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-15T20:52:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53ee72a26361	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/130/gcs3
#-nav=cat:V/130&tab:{V/130/gcs3}&key:source=V/130/gcs3&HTTPPRM:&&-ref=VIZ53ee72a26361&-out.max=unlimited&-out.form=ascii table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=m_Name&-out=RAJ2000&-out=DEJ2000&-out=logTe&-out=[Fe/H]&-out=Dist&-out=VMag&-out=age&-out=UVel&-out=VVel&-out=WVel&-out=Vmag&-out=b-y&-out=m1&-out=c1&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/130/gcs3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/130/gcs3
#-order=I
#-out=Name
#-out=m_Name
#-out=RAJ2000
#-out=DEJ2000
#-out=logTe
#-out=[Fe/H]
#-out=Dist
#-out=VMag
#-out=age
#-out=UVel
#-out=VVel
#-out=WVel
#-out=Vmag
#-out=b-y
#-out=m1
#-out=c1
#-out=Simbad
#

#RESOURCE=yCat_5130
#Name: V/130
#Title: Geneva-Copenhagen Survey of Solar neighbourhood III (Holmberg+, 2009)
#Table	V_130_gcs3:
#Name: V/130/gcs3
#Title: Geneva-Copenhagen catalogue III {\em(includes uvby data from Olsen 1984A\&AS...57..443O)}
#Column	Name	(a11)	Object name (HD, BD, CD or CP) (1)	[ucd=meta.id;meta.main]
#Column	m_Name	(A4)	Components included in photometry (2)	[ucd=meta.code.multip]
#Column	RAJ2000	(A10)	Right ascension (ICRF)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (ICRF)	[ucd=pos.eq.dec;meta.main]
#Column	logTe	(F6.3)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	Dist	(I4)	? Distance [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	VMag	(F5.2)	? Absolute magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	age	(F4.1)	? Age, in Gigayears	[ucd=time.age]
#Column	UVel	(I5)	? Heliocentric space velocity component U (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.x]
#Column	VVel	(I5)	? Heliocentric space velocity component V (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.y]
#Column	WVel	(I5)	? Heliocentric space velocity component W (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.z]
#Column	Vmag	(F6.3)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	b-y	(F6.3)	Stroemgren (b-y) index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	m1	(F6.3)	Stroemgren m_1_ index ((v-b) - (b-y))	[ucd=phot.color]
#Column	c1	(F6.3)	Stroemgren c_1_ index ((u-v) - (v-b))	[ucd=phot.color]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=]
Name	m_Name	RAJ2000	DEJ2000	logTe	[Fe/H]	Dist	VMag	age	UVel	VVel	WVel	Vmag	b-y	m1	c1	Simbad
HD 164249  	    	18 03 03.4	-51 38 56	 3.811	-0.13	  48	 3.59	 1.8	   -8	  -16	   -9	 7.005	 0.288	 0.151	 0.454	Simbad
HD 164259  	    	18 00 29.0	-03 41 24	 3.826	-0.19	  24	 2.76	 1.9	  -43	  -15	  -26	 4.620	 0.253	 0.153	 0.560	Simbad
HD 164263  	AB  	18 01 05.8	-19 58 02	 3.768	-0.07	  80	 3.78	 6.6	   75	  -25	   18	 8.294	 0.388	 0.180	 0.408	Simbad
HD 164267  	    	18 01 23.7	-26 58 41	 3.750	 0.00	  91	 4.02	 9.6	  -54	  -43	  -16	 8.827	 0.427	 0.214	 0.390	Simbad
HD 164296  	    	18 01 55.2	-34 08 10	 3.763	-0.14	  90	 4.73	 6.2	   22	  -10	  -11	 9.502	 0.394	 0.204	 0.309	Simbad
HD 164328  	AB  	18 04 26.1	-59 52 33	 3.753	-0.24	  72	 3.91	 9.9	  -43	  -42	  -12	 8.214	 0.412	 0.206	 0.302	Simbad
HD 164372  	    	17 48 51.7	+79 19 57	 3.826	-0.28	 119	 2.13	 1.7	  -33	  -24	    7	 7.508	 0.252	 0.147	 0.601	Simbad
HD 164389  	    	18 02 29.4	-36 21 48	 3.727	 0.02	  59	 5.40	    	  -48	  -34	   -2	 9.245	 0.472	 0.318	 0.313	Simbad
HD 164390  	    	18 02 31.2	-36 40 35	 3.740	-0.22	  79	 4.49	16.1	     	     	     	 8.971	 0.438	 0.206	 0.353	Simbad
HD 164395  	    	17 58 38.0	+44 56 14	 3.777	-0.15	 200	 1.59	 1.6	  -15	    9	    0	 8.100	 0.363	 0.159	 0.448	Simbad
HD 164396  	    	18 00 06.1	+20 44 29	 3.789	-0.42	  82	 2.85	 3.8	   33	   -6	    7	 7.418	 0.327	 0.129	 0.468	Simbad
HD 164427  	A   	18 04 42.5	-59 12 34	 3.768	-0.01	  38	 3.98	 6.6	    1	  -26	   26	 6.879	 0.390	 0.196	 0.371	Simbad
HD 164434  	AB  	18 01 30.8	-10 14 00	 3.754	-0.23	  40	 5.28	    	  -26	  -10	  -14	 8.301	 0.411	 0.222	 0.275	Simbad
HD 164444  	AB  	18 05 30.7	-63 11 38	 3.769	-0.06	  73	 3.51	 5.7	   10	  -42	  -13	 7.821	 0.386	 0.183	 0.389	Simbad
HD 164445  	    	17 52 19.1	+76 00 02	      	     	 233	 0.54	    	     	     	     	 7.371	 0.214	 0.162	 0.891	Simbad
HD 164500  	    	18 03 41.4	-45 51 43	 3.727	-0.46	  54	 6.02	    	  -74	  -33	  -27	 9.665	 0.457	 0.291	 0.220	Simbad
HD 164503  	    	17 59 31.7	+41 43 57	 3.784	-0.16	  74	 4.09	 4.2	     	     	     	 8.432	 0.347	 0.163	 0.375	Simbad
HD 164509  	    	18 01 31.2	+00 06 16	 3.760	-0.07	  52	 4.52	 8.0	   14	    1	    2	 8.114	 0.404	 0.192	 0.386	Simbad
HD 164519  	    	18 03 12.5	-36 32 52	 3.782	-0.17	  98	 3.82	 4.1	  -19	  -27	  -45	 8.774	 0.350	 0.167	 0.352	Simbad
HD 164526  	    	17 58 21.6	+55 06 49	 3.782	-0.37	  95	 3.66	 6.2	   -9	   28	  -11	 8.542	 0.345	 0.138	 0.396	Simbad
HD 164594  	    	17 59 55.1	+42 01 02	 3.839	 0.11	 176	 2.73	 1.1	     	     	     	 8.955	 0.223	 0.182	 0.610	Simbad
HD 164595  	A   	18 00 38.8	+29 34 18	 3.754	-0.24	  28	 4.81	10.7	  -18	    2	   24	 7.070	 0.411	 0.199	 0.314	Simbad
HD 164604  	    	18 03 06.9	-28 33 38	 3.654	-0.18	  41	 6.59	    	    8	  -10	    2	 9.655	 0.604	 0.648	 0.182	Simbad
HD 164613  	    	17 55 11.1	+72 00 18	      	     	 324	-2.12	    	    4	    5	  -10	 5.431	 0.213	 0.164	 0.997	Simbad
HD 164615  	    	18 01 33.2	+11 17 08	 3.839	 0.07	  75	 2.67	 1.1	  -33	  -22	  -17	 7.032	 0.224	 0.179	 0.630	Simbad
HD 164634  	    	18 02 22.8	-05 44 07	 3.817	-0.05	  78	 3.27	 1.7	   27	    6	   -7	 7.737	 0.275	 0.158	 0.457	Simbad
HD 164651  	    	18 02 17.8	+00 06 15	 3.744	-0.08	  33	 5.08	 8.5	     	     	     	 7.669	 0.435	 0.251	 0.305	Simbad
HD 164674  	    	18 02 28.5	-03 09 26	 3.781	-0.26	  62	 2.82	 3.6	   12	    6	   16	 6.763	 0.351	 0.148	 0.418	Simbad
HD 164695  	    	18 00 29.0	+41 02 35	 3.784	-0.31	  89	 3.81	 5.1	    7	    2	   -5	 8.553	 0.341	 0.145	 0.377	Simbad
HD 164748  	    	18 04 53.7	-44 39 43	 3.737	-0.19	  40	 5.46	 1.0	   20	    0	  -10	 8.448	 0.445	 0.248	 0.299	Simbad
HD 164763  	    	18 03 06.4	-07 40 06	 3.805	-0.24	  87	 3.65	 2.7	  -30	  -17	   -4	 8.349	 0.299	 0.143	 0.513	Simbad
HD 164764/5	    	18 03 04.9	-08 10 49	 3.828	 0.06	  51	 1.22	 1.0	  -39	  -24	  -13	 4.770	 0.251	 0.173	 0.586	Simbad
HD 164768  	    	18 03 48.8	-26 50 23	 3.751	-0.19	  96	 4.76	11.8	   -9	   13	   -6	 9.668	 0.419	 0.206	 0.328	Simbad
HD 164782  	    	18 00 03.8	+50 55 17	 3.845	-0.32	 106	 2.66	 1.6	     	     	     	 7.793	 0.205	 0.157	 0.728	Simbad
HD 164789  	    	18 03 04.3	-08 20 24	      	     	 140	 1.98	    	   -1	    9	    6	 7.718	 0.389	 0.123	 0.613	Simbad
HD 164841  	    	18 00 36.0	+48 24 35	 3.793	-0.02	  84	 3.58	 3.0	   -6	    6	   -8	 8.193	 0.328	 0.166	 0.425	Simbad
HD 164872  	    	18 09 54.8	-71 38 42	 3.822	-0.02	 102	 2.52	 1.7	     	     	     	 7.559	 0.265	 0.164	 0.533	Simbad
HD 164874  	AB  	18 00 18.7	+52 51 16	 3.749	-0.49	  60	 3.81	10.3	  -25	  -25	  -20	 7.720	 0.413	 0.175	 0.295	Simbad
HD 164901  	    	18 02 42.9	+16 48 53	 3.794	-0.16	  76	 3.17	 2.9	  -67	  -16	    6	 7.569	 0.324	 0.152	 0.422	Simbad
HD 164931  	    	18 03 54.4	-09 15 10	 3.799	-0.02	  81	 3.57	 2.5	     	     	     	 8.101	 0.316	 0.166	 0.419	Simbad
HD 164983  	B   	17 59 10.5	+64 08 38	 3.809	 0.00	  44	 4.39	    	     	     	     	 7.617	 0.295	 0.163	 0.448	Simbad
HD 164984  	A   	17 59 13.7	+64 08 33	 3.814	-0.11	  68	 3.15	 2.1	     	     	     	 7.296	 0.281	 0.152	 0.478	Simbad
HD 165000  	    	18 05 44.1	-41 25 55	 3.802	-0.35	  84	 3.75	 3.1	    4	  -30	  -28	 8.356	 0.302	 0.133	 0.419	Simbad
HD 165002  	AB  	18 06 27.0	-49 30 48	 3.804	-0.09	 285	 0.78	 1.1	     	     	     	 8.059	 0.305	 0.158	 0.614	Simbad
HD 165003  	AB  	18 06 53.0	-54 10 48	 3.796	-0.73	  97	 2.43	 3.5	   16	  -31	  -33	 7.372	 0.308	 0.104	 0.476	Simbad
HD 165008  	    	18 02 34.6	+30 33 19	 3.810	-0.03	  68	 2.42	 1.8	  -42	  -18	    3	 6.595	 0.293	 0.162	 0.532	Simbad
HD 165011  	    	18 04 20.4	-10 54 37	 3.781	-0.05	  72	 3.34	 3.3	  -14	   -7	    0	 7.630	 0.359	 0.168	 0.447	Simbad
HD 165027  	    	18 06 55.0	-52 58 01	 3.797	-0.25	  70	 3.62	 3.4	   -9	  -24	  -24	 7.845	 0.315	 0.145	 0.400	Simbad
HD 165045  	    	18 04 01.8	+01 49 56	 3.716	-0.51	  34	 5.42	    	   -9	   -2	  -19	 8.111	 0.476	 0.300	 0.231	Simbad
HD 165054  	AB  	18 05 16.4	-28 41 10	 3.751	-0.26	  49	 5.05	 7.7	   54	  -12	  -19	 8.489	 0.416	 0.197	 0.321	Simbad
HD 165073  	    	18 02 55.9	+30 21 02	 3.792	-0.16	  69	 3.87	 3.6	  -42	  -16	   -8	 8.054	 0.328	 0.152	 0.429	Simbad
HD 165098  	    	18 04 57.4	-15 17 19	      	     	 115	 2.61	    	   14	   -8	  -20	 7.914	 0.469	 0.127	 0.501	Simbad
HD 165137  	    	18 06 12.5	-37 29 57	 3.833	-0.16	  93	 2.76	 1.7	     	     	     	 7.606	 0.235	 0.159	 0.566	Simbad
HD 165146  	    	18 04 32.2	+01 14 15	 3.816	-0.07	  99	 2.59	 1.9	  -36	  -11	  -16	 7.574	 0.278	 0.159	 0.586	Simbad
HD 165155  	    	18 05 57.3	-29 55 02	 3.732	 0.22	  65	 5.35	    	   13	   11	  -23	 9.418	 0.470	 0.315	 0.357	Simbad
HD 165170  	AB  	18 02 30.8	+44 14 02	 3.803	-0.26	  81	 2.55	 2.2	   20	  -30	   -1	 7.097	 0.303	 0.142	 0.412	Simbad
HD 165173  	    	18 04 26.3	+06 26 11	 3.734	 0.00	  32	 5.44	 0.9	   -6	    3	   13	 7.958	 0.459	 0.267	 0.345	Simbad
HD 165185  	    	18 06 23.7	-36 01 11	 3.765	-0.25	  18	 4.73	 5.1	   14	    4	   -9	 5.949	 0.386	 0.183	 0.312	Simbad
HD 165200  	    	18 05 11.0	-09 34 41	 3.775	-0.26	 118	 3.33	 5.7	  -14	  -24	  -10	 8.692	 0.364	 0.151	 0.411	Simbad
HD 165204  	    	18 05 46.7	-23 31 03	 3.739	 0.15	  76	 4.75	11.0	   61	  -55	  -46	 9.155	 0.455	 0.264	 0.385	Simbad
HD 165241  	A   	18 03 54.1	+26 39 04	 3.803	-0.48	  59	 3.10	 2.9	   16	    2	  -10	 6.940	 0.299	 0.123	 0.399	Simbad
HD 165259  	AB  	18 12 34.0	-73 40 20	 3.808	 0.18	  42	 2.74	 1.7	  -25	  -48	   -8	 5.860	 0.302	 0.179	 0.475	Simbad
HD 165261  	    	18 02 37.1	+48 17 56	 3.774	-0.12	  84	 3.36	 5.1	    9	   -9	  -11	 7.984	 0.371	 0.175	 0.371	Simbad
HD 165269  	    	18 06 13.7	-27 29 33	 3.776	 0.20	  63	 3.31	 2.9	   -2	   -5	  -16	 7.316	 0.380	 0.202	 0.438	Simbad
HD 165271  	    	18 07 26.2	-46 53 55	 3.755	-0.06	  72	 3.35	 5.5	  -89	  -17	   12	 7.643	 0.415	 0.198	 0.391	Simbad
HD 165281  	    	18 03 53.4	+30 22 37	 3.790	-0.07	  47	 3.45	 3.3	   53	  -29	   -8	 6.793	 0.334	 0.163	 0.418	Simbad
HD 165291  	    	18 06 16.9	-26 47 20	 3.801	-0.21	 109	 3.23	 2.8	   18	   15	   -2	 8.421	 0.307	 0.145	 0.445	Simbad
HD 165298  	    	18 02 59.7	+46 14 09	 3.800	-0.18	  99	 3.18	 2.8	  -28	  -21	   -4	 8.166	 0.311	 0.148	 0.455	Simbad
HD 165309  	    	17 54 05.7	+78 40 46	 3.820	 0.00	 152	 1.68	 1.3	     	     	     	 7.594	 0.270	 0.165	 0.633	Simbad
HD 165341  	AB  	18 05 27.3	+02 29 59	 3.701	-0.29	   5	 5.49	    	    4	  -21	  -20	 4.016	 0.508	 0.390	 0.262	Simbad
HD 165360  	AB  	18 06 01.6	-08 06 31	 3.787	-0.49	  56	 3.37	 5.3	  -20	   23	  -10	 7.109	 0.329	 0.125	 0.390	Simbad
HD 165371  	    	18 03 22.4	+45 58 31	 3.783	-0.15	 114	 3.37	 3.6	   -1	  -87	   30	 8.652	 0.350	 0.158	 0.418	Simbad
HD 165401  	    	18 05 37.4	+04 39 25	 3.759	-0.50	  24	 4.91	 8.0	  -79	  -89	  -39	 6.801	 0.393	 0.164	 0.287	Simbad
HD 165458  	AB  	18 15 25.4	-76 40 00	 3.813	-0.25	    	     	    	     	     	     	 8.199	 0.281	 0.144	 0.739	Simbad
HD 165460  	    	18 03 08.9	+52 51 40	 3.781	-0.33	 173	 2.66	 3.6	  -26	  -14	  -10	 8.848	 0.348	 0.139	 0.464	Simbad
HD 165471  	    	18 08 43.9	-49 20 43	 3.810	 0.08	 128	 1.83	 1.4	  -35	   -8	    7	 7.374	 0.294	 0.172	 0.539	Simbad
HD 165476  	    	18 05 52.2	+07 05 26	 3.760	-0.19	  47	 4.29	10.4	   40	  -23	   38	 7.658	 0.400	 0.183	 0.355	Simbad
HD 165499  	    	18 10 26.1	-62 00 08	 3.770	-0.17	  18	 4.24	 6.9	   36	   -3	    3	 5.470	 0.378	 0.178	 0.344	Simbad
HD 165504  	AB  	18 04 52.4	+33 16 20	 3.769	 0.04	  47	 4.34	 4.9	   35	  -22	  -17	 7.687	 0.389	 0.206	 0.359	Simbad
HD 165522  	AB  	18 01 23.2	+65 56 55	 3.801	-0.05	 190	 1.32	 1.3	  -39	  -18	  -16	 7.715	 0.312	 0.162	 0.573	Simbad
HD 165540  	    	18 04 49.2	+37 50 02	 3.794	-0.23	 138	 2.65	 2.5	   -3	   -9	    3	 8.349	 0.321	 0.144	 0.450	Simbad
HD 165567  	    	18 04 43.1	+40 05 03	 3.796	-0.02	  51	 3.00	 2.5	   -4	    8	   -2	 6.520	 0.323	 0.163	 0.475	Simbad
HD 165590  	AB  	18 05 49.7	+21 26 45	 3.750	-0.27	  39	 4.10	11.8	    2	  -11	    0	 7.080	 0.418	 0.205	 0.303	Simbad
HD 165598  	    	18 08 02.7	-31 00 04	 3.799	-0.15	 476	-0.68	 0.4	     	     	     	 7.706	 0.314	 0.154	 0.670	Simbad
HD 165610  	    	18 06 55.8	-03 14 00	 3.796	-0.12	  95	 2.15	 1.8	  -64	   10	  -10	 7.039	 0.319	 0.153	 0.469	Simbad
HD 165670  	A   	18 06 50.7	+08 52 33	 3.796	-0.11	  40	 3.94	 2.2	   29	   -5	  -17	 6.977	 0.320	 0.158	 0.409	Simbad
HD 165672  	    	18 06 48.8	+06 24 37	 3.763	-0.01	  46	 4.46	 6.6	    1	  -10	   -5	 7.780	 0.399	 0.202	 0.367	Simbad
HD 165696  	    	18 09 27.4	-45 56 18	 3.796	-0.04	  54	 3.69	 2.7	  -41	  -19	  -15	 7.346	 0.323	 0.163	 0.434	Simbad
HD 165700  	    	18 04 00.4	+55 16 23	 3.783	-0.69	  86	 3.11	 5.2	   50	  -23	    7	 7.782	 0.335	 0.111	 0.355	Simbad
HD 165727  	    	18 08 58.5	-35 47 08	 3.736	-0.46	    	     	    	     	     	     	 9.401	 0.440	 0.190	 0.317	Simbad
HD 165728  	AB  	18 09 01.9	-36 17 05	 3.775	-0.13	  88	 3.75	 5.8	   17	   -8	    3	 8.484	 0.370	 0.180	 0.347	Simbad
HD 165736  	    	18 15 11.9	-74 02 19	 3.815	-0.19	 102	 3.08	 2.2	  -46	  -22	    0	 8.130	 0.278	 0.145	 0.469	Simbad
HD 165740  	    	18 05 32.9	+42 27 43	 3.760	-0.16	  68	 4.59	 8.6	    2	  -15	   -3	 8.747	 0.400	 0.194	 0.333	Simbad
BD +15 3364	A   	18 07 18.6	+15 56 45	 3.752	-0.18	  64	 4.62	12.2	   51	  -34	   -2	 8.663	 0.417	 0.203	 0.332	Simbad
HD 165766  	    	18 08 52.1	-28 45 19	 3.805	-0.21	  70	 3.36	 2.6	     	     	     	 7.574	 0.300	 0.145	 0.439	Simbad
HD 165862  	    	18 04 02.6	+61 34 04	 3.792	-0.07	 101	 3.52	 3.1	     	     	     	 8.546	 0.329	 0.162	 0.419	Simbad
HD 165863  	    	18 05 05.7	+53 21 59	 3.745	 0.05	  52	 5.20	    	  -25	  -15	    2	 8.773	 0.440	 0.269	 0.322	Simbad
HD 165896  	AC  	18 09 15.0	-26 07 00	 3.741	-0.71	  39	 4.63	    	  -36	  -62	  -24	 7.615	 0.423	 0.184	 0.230	Simbad
HD 165904  	    	18 12 04.2	-60 01 56	 3.837	-0.20	 228	 1.98	 1.5	   47	   18	  -16	 8.764	 0.226	 0.159	 0.695	Simbad
HD 165908  	AB  	18 07 01.5	+30 33 43	 3.775	-0.55	  16	 4.09	 6.8	   -6	    1	   10	 5.060	 0.355	 0.134	 0.319	Simbad
HD 165988  	    	18 05 20.9	+55 06 19	 3.785	-0.21	 181	 1.62	 1.6	   23	  -20	  -16	 7.916	 0.342	 0.149	 0.447	Simbad
HD 166066  	    	18 38 51.0	-85 42 32	 3.770	-0.21	  64	 4.09	 7.0	  -17	    9	  -42	 8.110	 0.378	 0.166	 0.376	Simbad
HD 166073  	    	18 08 52.4	+01 59 44	 3.803	-0.18	  86	 2.30	 1.9	  -41	  -10	    0	 6.982	 0.303	 0.148	 0.508	Simbad
HD 166081  	    	18 10 20.8	-31 06 43	 3.759	-0.26	  83	 4.27	10.7	  -30	  -45	   -1	 8.853	 0.400	 0.177	 0.348	Simbad
HD 166118  	A   	18 06 49.9	+46 46 16	 3.844	 0.03	 134	 2.69	 1.1	     	     	     	 8.330	 0.209	 0.178	 0.665	Simbad
HD 166136  	AB  	18 10 46.2	-35 28 41	 3.753	-0.07	  71	 4.74	 9.1	   13	   -3	   -7	 9.003	 0.419	 0.219	 0.336	Simbad
HD 166154  	    	18 13 07.9	-60 08 35	 3.817	-0.10	  58	 3.26	 1.9	     	     	     	 7.079	 0.274	 0.153	 0.475	Simbad
HD 166181  	    	18 08 16.0	+29 41 28	 3.721	-0.59	  34	 5.05	    	    2	    6	  -17	 7.727	 0.465	 0.231	 0.262	Simbad
HD 166183  	    	18 09 31.0	+00 23 28	 3.797	-0.12	  88	 3.15	 2.8	   34	   12	  -17	 7.867	 0.317	 0.154	 0.437	Simbad
HD 166219  	    	18 11 07.2	-32 59 27	 3.751	-0.09	  68	 4.77	10.2	    1	  -35	  -14	 8.934	 0.421	 0.239	 0.299	Simbad
HD 166233  	AB  	18 09 33.8	+03 59 35	 3.838	 0.08	  55	 2.02	 1.2	   -7	    0	  -13	 5.710	 0.226	 0.179	 0.654	Simbad
HD 166254  	    	18 08 54.3	+21 59 43	 3.749	-0.57	  48	 5.27	    	  -11	   -9	   22	 8.677	 0.412	 0.184	 0.251	Simbad
HD 166257  	AB  	18 09 34.2	+06 08 44	 3.776	-0.53	 199	 1.18	 1.3	   39	  -12	   -2	 7.675	 0.354	 0.139	 0.532	Simbad
HD 166281  	    	18 08 56.8	+24 34 34	 3.837	-0.14	 253	 1.12	 1.1	   10	    3	   -5	 8.136	 0.226	 0.163	 0.763	Simbad
HD 166285  	AB  	18 09 54.0	+03 07 11	 3.801	-0.13	  47	 2.31	 1.9	   34	  -22	  -20	 5.670	 0.310	 0.152	 0.451	Simbad
HD 166297  	A   	18 11 23.7	-33 19 37	 3.794	-0.24	 127	 2.09	 2.0	  -56	  -27	  -19	 7.609	 0.321	 0.143	 0.447	Simbad
HD 166301  	    	18 08 58.6	+24 09 29	 3.761	-0.22	  36	 4.62	 9.5	  -17	    9	   -9	 7.426	 0.396	 0.189	 0.322	Simbad
HD 166309  	AB  	18 11 15.8	-29 38 22	      	     	    	     	    	     	     	     	 7.636	 0.636	 0.502	 0.219	Simbad
HD 166337  	    	18 11 02.3	-18 32 51	 3.807	 0.06	  80	 3.19	 2.0	     	     	     	 7.703	 0.302	 0.169	 0.461	Simbad
HD 166376  	AB  	18 12 56.2	-50 33 31	 3.835	-0.16	  74	 2.16	 1.5	  -23	  -19	   -7	 6.514	 0.232	 0.160	 0.664	Simbad
HD 166379  	    	18 05 11.1	+66 56 43	      	     	 217	 0.17	    	   -9	  -12	  -28	 6.861	 0.440	 0.258	 0.597	Simbad
HD 166409  	    	18 08 21.8	+44 06 45	 3.805	-0.10	 101	 1.82	 1.5	  -18	   -5	  -13	 6.845	 0.302	 0.154	 0.504	Simbad
HD 166435  	    	18 09 21.3	+29 57 06	 3.758	-0.13	  25	 4.86	 5.5	  -14	   -5	  -11	 6.837	 0.406	 0.213	 0.312	Simbad
HD 166437  	    	18 09 46.2	+21 20 53	 3.805	-0.23	 126	 2.26	 2.0	    2	    9	  -52	 7.770	 0.299	 0.143	 0.490	Simbad
HD 166553  	AB  	18 12 59.1	-39 09 42	 3.776	 0.03	  46	 3.96	 4.2	   14	  -27	  -23	 7.267	 0.373	 0.191	 0.380	Simbad
HD 166576  	    	18 14 23.4	-54 03 26	 3.768	-0.36	  62	 4.67	 5.5	  -28	   -8	  -25	 8.621	 0.376	 0.164	 0.314	Simbad
HD 166579  	    	18 07 36.6	+58 58 32	 3.774	-0.22	  74	 4.10	 6.2	  -47	  -32	  -14	 8.434	 0.368	 0.160	 0.387	Simbad
HD 166600  	    	18 09 54.2	+34 15 09	 3.819	 0.22	    	     	    	     	     	     	 8.639	 0.277	 0.185	 0.748	Simbad
HD 166601  	    	18 10 02.6	+30 50 25	 3.792	-0.12	  87	 3.18	 2.9	  -13	  -52	  -34	 7.878	 0.329	 0.156	 0.434	Simbad
HD 166620  	    	18 09 37.4	+38 27 27	 3.699	-0.08	  11	 6.17	    	   16	  -32	    0	 6.377	 0.517	 0.400	 0.294	Simbad
HD 166649  	    	18 13 28.4	-39 42 41	 3.799	 0.02	  95	 2.81	 2.2	  -36	  -54	  -23	 7.695	 0.318	 0.166	 0.459	Simbad
HD 166653  	AB  	18 15 08.5	-57 51 15	 3.758	-0.38	  51	 4.04	11.0	  -17	  -12	  -24	 7.595	 0.397	 0.175	 0.304	Simbad
HD 166685  	    	18 11 23.7	+11 31 43	 3.786	-0.09	  74	 4.05	 3.6	  -31	  -35	   -7	 8.399	 0.345	 0.162	 0.425	Simbad
HD 166724  	    	18 13 59.6	-42 34 31	 3.708	 0.09	  42	 6.17	    	  -22	   -8	  -10	 9.305	 0.506	 0.394	 0.308	Simbad
HD 166729  	    	18 10 27.3	+35 10 17	 3.800	-0.03	  96	 2.12	 1.7	     	     	     	 7.035	 0.314	 0.161	 0.464	Simbad
HD 166761  	A   	18 12 24.0	-07 17 49	 3.786	-0.15	  85	 3.09	 3.0	  -49	  -44	   -7	 7.739	 0.342	 0.157	 0.412	Simbad
HD 166793  	    	18 14 19.5	-43 09 15	 3.823	-0.01	  99	 2.81	 1.6	     	     	     	 7.790	 0.262	 0.161	 0.530	Simbad
HD 166821  	A   	18 09 53.8	+48 24 05	 3.787	-0.52	  79	 3.54	 5.8	  -18	    7	   18	 8.029	 0.328	 0.123	 0.382	Simbad
HD 166823  	AB  	18 12 18.1	+01 53 50	 3.753	-0.17	  60	 4.56	12.0	  -15	  -22	   -8	 8.464	 0.414	 0.206	 0.326	Simbad
HD 166847  	AB  	18 12 36.1	-03 29 08	 3.798	-0.69	 592	-0.39	 0.5	   27	   12	  -61	 8.472	 0.304	 0.113	 0.646	Simbad
HD 166864  	    	18 17 51.6	-67 21 25	 3.818	-0.18	  69	 3.54	 1.3	     	     	     	 7.723	 0.272	 0.146	 0.480	Simbad
HD 166865  	B   	18 00 03.5	+80 00 03	 3.789	-0.12	  30	 3.68	 3.4	  -21	    3	   -5	 6.050	 0.336	 0.161	 0.400	Simbad
HD 166866  	A   	18 00 09.2	+80 00 14	 3.789	-0.16	  28	 3.47	 3.4	  -18	    3	   -4	 5.692	 0.333	 0.154	 0.415	Simbad
HD 166891  	    	18 15 48.7	-55 21 20	 3.818	-0.19	 113	 2.64	 2.0	     	     	     	 7.910	 0.271	 0.146	 0.500	Simbad
HD 166913  	    	18 16 25.6	-59 24 11	 3.779	-1.54	  63	 4.21	12.8	  -51	  -46	   70	 8.220	 0.328	 0.069	 0.303	Simbad
HD 166954  	    	18 10 13.8	+51 53 55	      	     	    	     	    	     	     	     	 8.369	 0.210	 0.168	 0.861	Simbad
HD 166962  	ABC 	18 13 35.4	-15 35 54	 3.801	-0.10	  75	 2.94	 2.4	  -35	  -15	   -9	 7.304	 0.311	 0.154	 0.470	Simbad
HD 166972  	    	18 16 28.5	-57 26 49	 3.806	-0.12	  57	 3.26	 2.5	   -4	   -4	   -4	 7.032	 0.298	 0.152	 0.460	Simbad
HD 166976  	    	18 12 35.6	+12 23 36	      	     	    	     	    	     	     	     	 7.562	 0.209	 0.175	 0.868	Simbad
